epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,31054.8,1.06615,0.76594,1.05182,0.65707,0.5208,0.55801,0.37814,1.07872,0.81152,1.05077,0.00109,0.00109,0.00109
92,32217.3,1.06257,0.75494,1.04786,0.64389,0.52348,0.5578,0.37894,1.07869,0.81018,1.05061,0.000991,0.000991,0.000991
93,32959.7,1.05663,0.74568,1.04414,0.64124,0.52189,0.55655,0.37803,1.07908,0.81024,1.05048,0.000892,0.000892,0.000892
94,33705.7,1.04855,0.73913,1.04257,0.62399,0.52697,0.5564,0.37831,1.07902,0.81058,1.05035,0.000793,0.000793,0.000793
95,34427.1,1.04428,0.73256,1.03888,0.63989,0.51958,0.5557,0.37726,1.0793,0.81038,1.05044,0.000694,0.000694,0.000694
96,35520.1,1.04162,0.7285,1.03815,0.63555,0.51987,0.55614,0.37771,1.07974,0.80998,1.05064,0.000595,0.000595,0.000595
97,36788.9,1.03939,0.72495,1.03609,0.64294,0.52019,0.5587,0.37713,1.08081,0.81009,1.05117,0.000496,0.000496,0.000496
98,38029.3,1.03565,0.7206,1.03397,0.63375,0.52325,0.55874,0.37749,1.08084,0.80985,1.05111,0.000397,0.000397,0.000397
99,39241.4,1.03042,0.714,1.03138,0.63567,0.52326,0.55912,0.37739,1.08138,0.8097,1.05124,0.000298,0.000298,0.000298
100,40433.1,1.02615,0.7096,1.02791,0.63515,0.52172,0.55702,0.37709,1.08127,0.80957,1.05122,0.000199,0.000199,0.000199
